"id_curso","nome_curso","eixos_tematicos","competencias","certificador","conteudista","carga_horaria","disponibilidade_dias","tipo_oferta","apresentacao","publico_alvo","conteudo_programatico","data_lancamento"
"877","Parcerias Público-Privadas e Concessões","Políticas Públicas / Excelência na Entrega de Serviços / Água e Saneamento / Gestão Pública",NULL,"Enap - Escola Nacional de Administração Pública","CAIXA","30","30","Curso Aberto","Conheça todo o processo de planejamento, elaboração e contratação de Parcerias Público-Privadas (PPP) e Concessões. Aprenda desde a identificação de oportunidades e prospecção até a licitação e contratação com o setor privado.","Agentes públicos estaduais, distritais e municipais."," Prospecção e Estudos Preliminares Estruturação e Aprovação Validação Externa Licitação e Contratação","28/09/22"
"1329","Treinamento Censo Superior","Gestão da Informação e do Conhecimento",NULL,"Enap - Escola Nacional de Administração Pública","Instituto Nacional de Estudos e Pesquisas Educacionais - INEP","40","30","Curso Aberto","O Censo da Educação Superior é a pesquisa mais abrangente sobre as instituições de ensino superior no Brasil. Este treinamento é voltado para quem participa da coleta desses dados, com o objetivo de qualificar a produção de informações que revelam a situação, as transformações e as tendências da educação superior, beneficiando a comunidade acadêmica e a sociedade.","Pessoas envolvidas em atividades relacionadas à coleta e análise dos dados censitários da Educação Superior. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," O Inep e os Censos Educacionais Base Legal do Censo Superior Usuário IES Curso Docente Aluno Verificação de Erros Verificação de Consistências Fechamento","27/01/25"
"859","Uso responsável das TICs","Gestão Pública / Governo e Transformação Digital",NULL,"Enap - Escola Nacional de Administração Pública","Fundação CEPERJ","10","30","Curso Aberto","A tecnologia se apresenta como uma peça fundamental para que as pessoas possam suprir suas necessidades de contatos com outras, tanto no âmbito pessoal quanto no profissional. Essa possibilidade ameniza os efeitos negativos do distanciamento social e seus respectivos impactos na economia.","Agentes públicos e demais interessados no tema. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Breve história da Internet. Uso responsável das TIC's. Encerramento.","12/08/22"
"677","Type I Environmental Labeling course: Sustainability and Competitiveness for Brazilian Products and Services","Regulação",NULL,"Enap - Escola Nacional de Administração Pública","Ministério da Fazenda","30","30","Curso Aberto","The course presents environmental labeling, highlighting its types and programs, the socio-economic-environmental advantages and the business opportunities involved.","Economic agents of industry and commerce. Open course, anyone can apply.","Module 1: Contextualization of Type I Ecolabelling;Module 2: Type I Ecolabelling;Module 3: Case studies;Module 4: Strategy for Type I ecolabelling of products and services in Brazil and Latin America.","20/10/21"
"1057","Educação Patrimonial e Turismo Cultural","Educação e Docência","Foco nos resultados para os cidadãos / Geração de valor para os usuários","Enap - Escola Nacional de Administração Pública","IPHAN","10","30","Curso Aberto","Neste curso, você compreenderá as intersecções entre a educação patrimonial e o turismo cultural no Brasil, com o objetivo de conhecer estratégias de valorização e de promoção de nossos bens materiais e imateriais! Ficou interessado(a)? Inscreva-se!","Profissionais e estudantes interessados no tema do patrimônio cultural e, em particular, em questões ligadas à educação patrimonial. Servidores públicos de qualquer esfera e Poder, bem como cidadãos em geral, estão autorizados a realizar o curso."," Educação Patrimonial e Turismo Cultural","15/12/23"
"954","Educação Museal II - Histórico e Práticas","Educação e Docência / Gestão da Informação e do Conhecimento","Foco nos resultados para os cidadãos / Geração de valor para os usuários","Enap - Escola Nacional de Administração Pública","Instituto Brasileiro de Museus","25","30","Curso Aberto","Neste curso, você conhecerá os processos históricos, marcos e agentes políticos que contribuem para a configuração da educação museal no Brasil e reconhecerá as etapas necessárias para o adequado desenvolvimento de programas, projetos e ações educativas em museus e instituições culturais. Inscreva-se já para saber mais.","Agentes públicos e demais pessoas interessadas no assunto."," História da Educação Museal Experiências e práticas na Educação Museal","06/07/23"
"830","Noções de Ciência Política aplicada à Gestão de Recursos Hídricos","Regulação / Água e Saneamento",NULL,"Enap - Escola Nacional de Administração Pública","Agência Nacional de Águas e Saneamento Básico","20","30","Curso Aberto","Neste curso, você compreenderá os elementos fundamentais para as possibilidades e limites da governança democrática. Nele são apresentados os aspectos indispensáveis ao funcionamento do federalismo no sistema político brasileiro e é esclarecido como ocorre a gestão das políticas públicas e como atuam os sujeitos envolvidos. Esses tópicos tem como base a gestão dos recursos hídricos no território nacional. Saiba mais, inscreva-se.","Agentes públicos interessados em conhecer mais sobre o assunto."," Para começo de conversa, o que é política? Como Funciona o Federalismo no Sistema Político Brasileiro? Quais são os Sujeitos da Política? Como Ocorre a Gestão das Políticas Públicas? Quais são as Possibilidades e os Limites da Governança Democrática?","22/09/22"
"391","S2ID - M3 - Usuário Municipal - Solicitação de Recursos para Obras de Reconstrução","Políticas Públicas / Água e Saneamento / Gestão Pública / Infraestrutura","Foco nos resultados para os cidadãos","Enap - Escola Nacional de Administração Pública","Ministério da Integração e do Desenvolvimento Regional","40","60","Curso Aberto","Este curso integra o Módulo 3 da capacitação para utilização do Sistema Integrado de Informações sobre Desastres - S2ID. Ele foi desenvolvido com o intuito de capacitar os usuários do S2ID a conhecerem as etapas de preenchimento da solicitação de recursos para obras de restabelecimento e suas especificidades.","Usuários do S2ID, especificamente da esfera municipal. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever."," Introdução Requisitos para Solicitação de Recursos para Obras de Reconstrução Acompanhamento da Solicitação de Recursos para Obras de Reconstrução Formalização da Contratação Transferências de Recursos  ","19/04/21"
"701","Scrum in the Context of the Public Sector","Estratégia e Planejamento",NULL,"Enap - Escola Nacional de Administração Pública","Ministério da Fazenda","30","30","Curso Aberto","Based on the understanding that the Brazilian scenario and trends in other countries point to the permanent improvement in the use of new technologies to solve concrete problems that improve citizens' lives, the course aims to prepare public servants to the application of the Scrum framework in project management and execution of public actions.","The Scrum in the Context of Public Service course is aimed at public servants who occupy management positions. Public servants of any sphere and power as well as citizens in general are authorized to take the course.","Module 1: Scrum: what is it and what is it for?Module 2: The roles in Scrums team.Module 3: The Scrum flow.Module 4: Applying Scrum in the Public Sector.","15/10/21"
"1272","Trilho 2 - Atuando em rede Trilha - Coordenação e Colaboração em Rede","Gestão Pública",NULL,"Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","20","365","Curso Aberto","O trilho 2 apresenta os temas relevantes para a atuação em rede, abrangendo: o estabelecimento de pontos de contato com os atores da política pública ou do objeto da colaboração; o reconhecimento da legitimidade dos atores envolvidos; a manutenção das redes ativas; a construção das redes abertas e a habilidade de engajar as equipes da própria organização para as ações de coordenação, reconhecendo a colaboração como instrumento estratégico institucional.","Lideranças públicas atuais e potenciais","Atuando em rede","18/11/24"
