"id_curso","nome_curso","eixos_tematicos","competencias","certificador","conteudista","carga_horaria","disponibilidade_dias","tipo_oferta","apresentacao","publico_alvo","conteudo_programatico"
"448","Design Thinking Aplicado à Educação","Educação e Docência / Governo e Transformação Digital","Inovação e mudança","Enap - Escola Nacional de Administração Pública","Enap - Escola Nacional de Administração Pública","25","30","Curso Aberto","Este curso é uma ótima oportunidade para você conhecer o papel do Design Thinking! O curso Design Thinking aplicado à educação foi desenvolvido em 2021 pela Enap, o qual tem como objetivo apresentar os conceitos, características principais, exemplos da abordagem do Design Thinking (DT), técnicas e ferramentas que poderão ser utilizadas na aplicação da abordagem do DT na educação.","Servidores públicos que atuam na concepção, no desenvolvimento, na execução e na avaliação de soluções de capacitação para desenvolvimento de competências. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1: O contexto do Design Thinking na educação.Módulo 2: Etapas do Design Thinking.Módulo 3: Eventos colaborativos e imersivos de inovação."
"191","Supervisão de Estágio na Receita Federal do Brasil","Gestão de Pessoas",NULL,"Enap - Escola Nacional de Administração Pública","Receita Federal do Brasil","8","10","Curso Exclusivo","O curso Supervisão de Estágio foi produzido por meio da Receita Federal do Brasil - RFB. Sua estrutura está configurada em 1 (um) módulo que aborda conhecimentos relacionados aos procedimentos operacionais relativos à gestão de estagiários.","Exclusivo para servidores da Receita Federal do Brasil. Para o usuário ter acesso ao curso é necessário que você tenha cadastro na EV.G com seu e-mail institucional (@rfb.gov.br ou @receita.fazenda.gov.br ou @receita.economia.gov.br).","Capítulo 1: IntroduçãoCapítulo 2: ContrataçãoCapítulo 3: AdmissãoCapítulo 4: AvaliaçãoCapítulo 5: RenovaçãoCapítulo 6: DesligamentoCapítulo 7: Conclusão"
"950","Promoção e Defesa dos Direitos das Pessoas LGBTQIA+","Direitos Humanos / Ética e Cidadania / Políticas Sociais","Foco nos resultados para os cidadãos / Geração de valor para os usuários","Enap - Escola Nacional de Administração Pública","Ministério dos Direitos Humanos e Cidadania","30","30","Curso Aberto","Para fortalecer a cultura de direitos humanos, a partir do reconhecimento, valorização e respeito à diversidade é necessário compreender os principais desafios vivenciados por pessoas LGBTQIA+. Neste curso, você irá aprender os conceitos, conhecer experiências e aspectos específicos de violências, exclusão, discriminação e desigualdade vividos por pessoas LGBTQIA+, bem como estratégias para a garantia, promoção e defesa de seus direitos.","Pessoas que atuam na garantia, defesa e promoção dos direitos de pessoas LGBTQIA+. Servidoras/es públicas/os de qualquer esfera de poder, profissionais da iniciativa privada e integrantes de movimentos sociais vinculados a instituições, serviços e organizações que atendem ou são demandados pela população LGBTQIA+, bem como pessoas da sociedade em geral.","Módulo 1: Identidade de Gênero.Módulo 2: Orientação Afetiva-Sexual.Módulo 3: Cultura e Políticas Públicas para LGBTQIA+: Avanços e Desafios.Módulo 4: Direito ao Corpo e à SaúdeMódulo 5: Direito à EducaçãoMódulo 6: Direito a Trabalho e Renda"
"535","Gerenciamento de serviços de TIC focado na Administração Pública","Governo e Transformação Digital / Inovação / Gestão da Informação e do Conhecimento","Foco nos resultados para os cidadãos / Inovação e mudança","Enap - Escola Nacional de Administração Pública","Secretaria de Governo Digital","25","30","Curso Aberto","A tecnologia se encontra em todos os contextos e por isso surge a necessidade de novos conhecimentos dos recursos tecnológicos como um todo, especialmente na administração pública. Você conhece o gerenciamento de serviços de TI? Se inscreva e venha conhecer a Integração das dimensões para o gerenciamento de serviços, que vai além de informações tecnológicas e é muito importante para o gerenciamento de sistema de valor, cadeia de valor, governança e melhoria contínua.","Agentes públicos, especialmente aqueles que são interessados na utilização dos recursos tecnológicos como estratégias na Administração Pública. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1: Desenvolvendo uma Visão Sobre Gerenciamento de Serviços;Módulo 2: Gerando Valor Público Mediante Serviços;Módulo 3: Dimensionando a Organização para o Gerenciamento de Serviços;Módulo 4: Estruturando o Sistema de Valor de Governança e de Melhoria Contínua em Serviços;Módulo 5: Identificando Boas Práticas de Gerenciamento de Serviços na Administração Pública."
"390","Etapas e Procedimentos do PNLD","Educação e Docência",NULL,"Enap - Escola Nacional de Administração Pública","Ministério da Educação","30","30","Curso Aberto","O curso compõe a Trilha de Aprendizagem sobre o PNLD, possibilitando um acompanhamento mais efetivo das escolas e dos profissionais que atuam na Educação Básica. Promove a elaboração dos planos pedagógicos, a escolha dos livros e as etapas de remanejamento, dentre outras práticas executadas na escola.","Todos os atores envolvidos nos processos de elaboração e execução do PNLD; Órgãos de Controle; Sociedade; Professores e Alunos. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1: O livro como indutor da melhoria da qualidade da Educação Básica;Módulo 2: Etapas, Procedimentos e Funcionamento do PNLD;Módulo 3: PNLD na prática;Módulo 4: Recursos disponíveis de suporte ao PNLD;Módulo 5: Sistemas informatizados de apoio ao PNLD."
"655","Convênios de Educação, Ciência, Tecnologia e Inovação: Atos Preparatórios","Políticas Públicas",NULL,"Enap - Escola Nacional de Administração Pública","Secretaria de Gestão e Inovação (SEGES/MGI)","30","30","Curso Aberto","Neste curso, você conhecerá como ocorre o cadastramento de programas, propostas e planos de trabalho relacionados à celebração de convênios de Educação, Ciência, Tecnologia e Inovação (ECTI) por meio do Transferegov.br. Além disso, conhecerá conceitos importantes para compreender o conteúdo abordado, bem como entenderá as fases de formalização e celebração desses convênios. Quer saber mais sobre o assunto? Inscreva-se.","Agentes públicos e profissionais que atuam na captação de recursos para a execução de políticas públicas relacionadas às áreas de Educação, Ciência, Tecnologia e Inovação. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1: Cadastro do Programa no Transferegov.br;Módulo 2: Cadastro da Proposta no Transferegov.br;Módulo 3: Cadastro do Plano de Trabalho no Transferegov.br;Módulo 4: Termo de Referência, Noções de Projeto Básico e Envio da Proposta;Módulo 5: Análise e Ajuste da Proposta e do Plano de Trabalho no Transferegov.br;Módulo 6: Formalização e Celebração do Instrumento."
"531","Elaboração e monitoramento do PDTIC","Estratégia e Planejamento / Governo e Transformação Digital / Gestão da Informação e do Conhecimento","Foco nos resultados para os cidadãos / Visão de futuro / Inovação e mudança","Enap - Escola Nacional de Administração Pública","Secretaria de Governo Digital","25","30","Curso Aberto","Você conhece o que é um Plano Diretor de Tecnologia da Informação e Comunicação (PDTIC)? Sabia que seu desenvolvimento é fundamental para a Administração Pública? Venha conhecer o processo de desenvolvimento, acompanhamento, monitoramento e avaliação de um PDTIC, que é instrumento de extrema importância para os desafios da gestão em todas as organizações existentes. Se inscreva agora e não perca essa oportunidade.","Agentes públicos e profissionais interessados em Tecnologia da Informação e Comunicação. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1: Entendendo o Planejamento;Módulo 2: Papéis e Responsabilidades;Módulo 3: Processos de Elaboração do PDTIC;Módulo 4: Processos de Acompanhamento de um PDTIC."
"824","Avaliação de Equipamentos de Irrigação","Regulação / Água e Saneamento",NULL,"Enap - Escola Nacional de Administração Pública","ANA - Agência Nacional de Águas e Saneamento Básico","10","10","Curso Aberto","Essa capacitação possui como foco elucidar as vantagens em se avaliar os diversos sistemas de irrigação existentes. Serão apresentados problemas corriqueiros e aspectos fundamentais para que os sistemas de irrigação sejam adequadamente mantidos. Além disso, serão abordados vários métodos de cálculo de uniformidade que podem ajudar a verificar se um sistema de irrigação está sendo eficientemente utilizado.","Agentes públicos interessados em conhecer as vantagens em se avaliar os diversos sistemas de irrigação existentes. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Módulo 1: Vantagem em se Fazer a Avaliação dos Sistemas: Estudos de Casos;Módulo 2: Por que Manter seu Sistema de Irrigação com Alta Eficiência em Aplicação de Água;Módulo 3: Como Diagnosticar Problemas nos Sistemas de Irrigação;Módulo 4: Metodologia para o Cálculo da Uniformidade de um Sistema de Irrigação por Aspersão Convencional;Módulo 5: Metodologia para o Cálculo da Uniformidade de um Sistema de Irrigação por Pivô Central;Módulo 6: Metodologia para o Cálculo da Uniformidade de um Sistema de Irrigação Localizado."
"266","Inventário Participativo","Gestão Pública / Logística e Compras Públicas",NULL,"Enap - Escola Nacional de Administração Pública","IBRAM - Instituto Brasileiro de Museus","20","20","Curso Aberto","Desenvolvido pelo Instituto Brasileiro de Museus (Ibram), este curso faz parte do Programa Saber Museu e traz recursos conceituais e metodológicos para o levantamento, a descrição, a classificação e a definição do que concerne e afeta as comunidades como patrimônio cultural. Quer saber mais? Se inscreva!","Representantes de Pontos de Memória e de Cultura e agentes que desenvolvam iniciativas de memória e museologia social. Curso aberto, gratuito e com certificado, qualquer pessoa pode se inscrever.","Patrimônio, cultura e museusInventário ParticipativoHistória oral e inventários participativosEtapas para elaboração de inventário participativo"
"471","Logística no Comércio Exterior Aplicada à Receita Federal","Regulação / Estratégia e Planejamento / Direito e Legislação / Logística e Compras Públicas","Foco nos resultados para os cidadãos / Visão sistêmica / Geração de valor para os usuários","Enap - Escola Nacional de Administração Pública","Receita Federal do Brasil","25","30","Curso Exclusivo","Conhecer as principais noções do transporte e da logística internacional é fundamental para atuar na área de importação e exportação de cargas, produtos e serviços. Neste curso, você compreenderá a dinâmica portuária e aeroportuária, considerando os conceitos básicos e a legislação aplicada a essa logística, e conhecerá também os custos relacionados ao tipo de transporte utilizado no comércio exterior. Saiba Mais, faça sua inscrição.","Público-alvo: Servidores da Receita Federal do Brasil que atuam na área de Fiscalização Aduaneira e aos demais servidores do órgão interessados no assunto. Este curso é exclusivo para agentes públicos da RFB. Para o usuário ter acesso ao curso é necessário que tenha o cadastro na EV.G com seu e-mail institucional (@rfb.gov.br ou @receita.fazenda.gov.br ou @receita.economia.gov.br).","Módulo 1 - Transporte aéreo internacionalMódulo 2 - Transporte MarítimoMódulo 3 - Modais terrestres e seguro"
